lan,folkmangd,befolkningstathet,medelalder,arbetslosa
Blekinge län,154157,52.6,43.3,7000
Dalarnas län,278903,10,43.7,11300
Gotlands län,57255,18.3,44.4,2100
Gävleborgs län,279991,15.5,43.5,13300
Hallands län,310665,57.2,42,10300
Jämtlands län,126765,2.6,43.3,5000
Jönköpings län,344262,33,41.6,10800
Kalmar län,235598,21.1,44.1,8300
Kronobergs län,189128,22.5,41.8,7600
Norrbottens län,249987,2.6,43.6,9700
Skåne län,1288908,117.5,40.9,68000
Stockholms län,2198044,336.9,39,87800
Södermanlands län,280666,46.2,42.4,12300
Uppsala län,348942,42.6,40.2,12200
Värmlands län,274691,15.7,43.7,11300
Västerbottens län,262362,4.8,41.6,9800
Västernorrlands län,243061,11.3,43.6,9000
Västmanlands län,261703,51.1,42.3,12100
Västra Götalands län,1632012,68.6,41,69600
Örebro län,288150,33.9,41.8,12700
Östergötlands län,442105,41.9,41.3,20800
